n,p,m
"{""synonym"":[Anelloviruses],""name"":anelloviridae,""definition"":['A family of non-enveloped, vertebrate, single-stranded DNA Viruses.'],""name_Dataset"":ANELLOVIRIDAE,""label"":Anelloviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D049811,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Unclassified Virus],""name"":viruses, unclassified,""definition"":[],""label"":Viruses, Unclassified,""uri"":http://purl.bioontology.org/ontology/MESH/D014713,""ontology"":MESH}"
"{""synonym"":[Unclassified Virus],""name"":viruses, unclassified,""definition"":[],""label"":Viruses, Unclassified,""uri"":http://purl.bioontology.org/ontology/MESH/D014713,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Unclassified Virus],""name"":viruses, unclassified,""definition"":[],""label"":Viruses, Unclassified,""uri"":http://purl.bioontology.org/ontology/MESH/D014713,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, Animal],""name"":viruses,""definition"":['Minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.'],""label"":Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D014780,""ontology"":MESH}"
"{""synonym"":[Asfivirus],""name"":asfarviridae,""definition"":['The sole genus of ASFARVIRIDAE, containing a single species: AFRICAN SWINE FEVER VIRUS.'],""name_Dataset"":ASFARVIRIDAE,""label"":Asfarviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D025701,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Asfivirus],""name"":asfarviridae,""definition"":['The sole genus of ASFARVIRIDAE, containing a single species: AFRICAN SWINE FEVER VIRUS.'],""name_Dataset"":ASFARVIRIDAE,""label"":Asfarviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D025701,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":['Viruses whose nucleic acid is DNA.'],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[],""name"":astroviridae,""definition"":['A family of RNA viruses with two genera: MAMASTROVIRUS and AVASTROVIRUS. They cause GASTROENTERITIS in humans and also infect other vertebrates.'],""name_Dataset"":ASTROVIRIDAE,""label"":Astroviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D019200,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[],""name"":astroviridae,""definition"":['A family of RNA viruses with two genera: MAMASTROVIRUS and AVASTROVIRUS. They cause GASTROENTERITIS in humans and also infect other vertebrates.'],""name_Dataset"":ASTROVIRIDAE,""label"":Astroviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D019200,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Sense Strand RNA Viruses],""name"":positive-strand rna viruses,""definition"":['RNA viruses that have their genetic material encoded in the form of single-stranded, positive-sense RNA. Unlike RETROVIRUSES they do not employ DNA intermediates in their life-cycle.'],""label"":Positive-Strand RNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D000085102,""ontology"":MESH}"
"{""synonym"":[Sense Strand RNA Viruses],""name"":positive-strand rna viruses,""definition"":['RNA viruses that have their genetic material encoded in the form of single-stranded, positive-sense RNA. Unlike RETROVIRUSES they do not employ DNA intermediates in their life-cycle.'],""label"":Positive-Strand RNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D000085102,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Sense Strand RNA Viruses],""name"":positive-strand rna viruses,""definition"":['RNA viruses that have their genetic material encoded in the form of single-stranded, positive-sense RNA. Unlike RETROVIRUSES they do not employ DNA intermediates in their life-cycle.'],""label"":Positive-Strand RNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D000085102,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, RNA],""name"":rna viruses,""definition"":['Viruses whose genetic material is RNA.'],""label"":RNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D012328,""ontology"":MESH}"
"{""synonym"":[Virus, RNA],""name"":rna viruses,""definition"":['Viruses whose genetic material is RNA.'],""label"":RNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D012328,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Virus, RNA],""name"":rna viruses,""definition"":['Viruses whose genetic material is RNA.'],""label"":RNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D012328,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, Animal],""name"":viruses,""definition"":['Minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.'],""label"":Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D014780,""ontology"":MESH}"
"{""synonym"":[Nebovirus],""name"":caliciviridae,""definition"":['A family of RNA viruses infecting a broad range of animals. Most individual species are restricted to their natural hosts. They possess a characteristic six-pointed starlike shape whose surfaces have cup-shaped (chalice) indentions. Transmission is by contaminated food, water, fomites, and occasionally aerosolization of secretions. Genera include LAGOVIRUS; NORWALK-LIKE VIRUSES; SAPPORO-LIKE VIRUSES; and VESIVIRUS.'],""name_Dataset"":CALICIVIRIDAE,""label"":Caliciviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D002139,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Nebovirus],""name"":caliciviridae,""definition"":['A family of RNA viruses infecting a broad range of animals. Most individual species are restricted to their natural hosts. They possess a characteristic six-pointed starlike shape whose surfaces have cup-shaped (chalice) indentions. Transmission is by contaminated food, water, fomites, and occasionally aerosolization of secretions. Genera include LAGOVIRUS; NORWALK-LIKE VIRUSES; SAPPORO-LIKE VIRUSES; and VESIVIRUS.'],""name_Dataset"":CALICIVIRIDAE,""label"":Caliciviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D002139,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Sense Strand RNA Viruses],""name"":positive-strand rna viruses,""definition"":['RNA viruses that have their genetic material encoded in the form of single-stranded, positive-sense RNA. Unlike RETROVIRUSES they do not employ DNA intermediates in their life-cycle.'],""label"":Positive-Strand RNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D000085102,""ontology"":MESH}"
"{""synonym"":[Cyclovirus],""name"":circoviridae,""definition"":['A family of very small viruses containing circular, single-stranded DNA and possessing no envelope. The modes of transmission are not known.'],""name_Dataset"":CIRCOVIRIDAE,""label"":Circoviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D018136,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Cyclovirus],""name"":circoviridae,""definition"":['A family of very small viruses containing circular, single-stranded DNA and possessing no envelope. The modes of transmission are not known.'],""name_Dataset"":CIRCOVIRIDAE,""label"":Circoviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D018136,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":['Viruses whose nucleic acid is DNA.'],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[Mastreviruses],""name"":geminiviridae,""definition"":['A genus of the family GEMINIVIRIDAE, whose type species Beet curly top virus has a very wide host range.'],""name_Dataset"":GEMINIVIRIDAE,""label"":Geminiviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D017791,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Mastreviruses],""name"":geminiviridae,""definition"":['A genus of the family GEMINIVIRIDAE, whose type species Beet curly top virus has a very wide host range.'],""name_Dataset"":GEMINIVIRIDAE,""label"":Geminiviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D017791,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":['Viruses whose nucleic acid is DNA.'],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[Mastreviruses],""name"":geminiviridae,""definition"":['A genus of the family GEMINIVIRIDAE, whose type species Beet curly top virus has a very wide host range.'],""name_Dataset"":GEMINIVIRIDAE,""label"":Geminiviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D017791,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Phytophagineae],""name"":plant viruses,""definition"":[],""label"":Plant Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D010942,""ontology"":MESH}"
"{""synonym"":[Phytophagineae],""name"":plant viruses,""definition"":[],""label"":Plant Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D010942,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Phytophagineae],""name"":plant viruses,""definition"":[],""label"":Plant Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D010942,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, Animal],""name"":viruses,""definition"":['Minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.'],""label"":Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D014780,""ontology"":MESH}"
"{""synonym"":[Thymic Virus, Mouse],""name"":herpesviridae,""definition"":['A family of enveloped, linear, double-stranded DNA viruses infecting a wide variety of animals. Subfamilies, based on biological characteristics, include: ALPHAHERPESVIRINAE; BETAHERPESVIRINAE; and GAMMAHERPESVIRINAE.'],""name_Dataset"":HERPESVIRIDAE,""label"":Herpesviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D006564,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Thymic Virus, Mouse],""name"":herpesviridae,""definition"":['A family of enveloped, linear, double-stranded DNA viruses infecting a wide variety of animals. Subfamilies, based on biological characteristics, include: ALPHAHERPESVIRINAE; BETAHERPESVIRINAE; and GAMMAHERPESVIRINAE.'],""name_Dataset"":HERPESVIRIDAE,""label"":Herpesviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D006564,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":['Viruses whose nucleic acid is DNA.'],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[],""name"":inoviridae,""definition"":['A family of rod-shaped or filamentous bacteriophages consisting of single-stranded DNA. There are two genera: INOVIRUS and PLECTROVIRUS.'],""name_Dataset"":INOVIRIDAE,""label"":Inoviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D017911,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[],""name"":inoviridae,""definition"":['A family of rod-shaped or filamentous bacteriophages consisting of single-stranded DNA. There are two genera: INOVIRUS and PLECTROVIRUS.'],""name_Dataset"":INOVIRIDAE,""label"":Inoviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D017911,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Phages],""name"":bacteriophages,""definition"":['Viruses whose hosts are bacterial cells.'],""label"":Bacteriophages,""uri"":http://purl.bioontology.org/ontology/MESH/D001435,""ontology"":MESH}"
"{""synonym"":[],""name"":inoviridae,""definition"":['A family of rod-shaped or filamentous bacteriophages consisting of single-stranded DNA. There are two genera: INOVIRUS and PLECTROVIRUS.'],""name_Dataset"":INOVIRIDAE,""label"":Inoviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D017911,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":[],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[],""name"":inoviridae,""definition"":['A family of rod-shaped or filamentous bacteriophages consisting of single-stranded DNA. There are two genera: INOVIRUS and PLECTROVIRUS.'],""name_Dataset"":INOVIRIDAE,""label"":Inoviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D017911,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":['Viruses whose nucleic acid is DNA.'],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":[],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Phages],""name"":bacteriophages,""definition"":['Viruses whose hosts are bacterial cells.'],""label"":Bacteriophages,""uri"":http://purl.bioontology.org/ontology/MESH/D001435,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Phages],""name"":bacteriophages,""definition"":['Viruses whose hosts are bacterial cells.'],""label"":Bacteriophages,""uri"":http://purl.bioontology.org/ontology/MESH/D001435,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, Animal],""name"":viruses,""definition"":['Minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.'],""label"":Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D014780,""ontology"":MESH}"
"{""synonym"":[Lymphocystiviruses],""name"":iridoviridae,""definition"":['Species infecting goldfish, in the family IRIDOVIRIDAE, unassigned to specific genera.'],""name_Dataset"":IRIDOVIRIDAE,""label"":Iridoviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D007497,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Lymphocystiviruses],""name"":iridoviridae,""definition"":['Species infecting goldfish, in the family IRIDOVIRIDAE, unassigned to specific genera.'],""name_Dataset"":IRIDOVIRIDAE,""label"":Iridoviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D007497,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":[],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[Lymphocystiviruses],""name"":iridoviridae,""definition"":['Species infecting goldfish, in the family IRIDOVIRIDAE, unassigned to specific genera.'],""name_Dataset"":IRIDOVIRIDAE,""label"":Iridoviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D007497,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":['Viruses whose nucleic acid is DNA.'],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[Alphalipothrixvirus],""name"":lipothrixviridae,""definition"":['Family of enveloped, lipid-containing, filamentous DNA viruses that infect ARCHAEA.'],""name_Dataset"":LIPOTHRIXVIRIDAE,""label"":Lipothrixviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D023643,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Alphalipothrixvirus],""name"":lipothrixviridae,""definition"":['Family of enveloped, lipid-containing, filamentous DNA viruses that infect ARCHAEA.'],""name_Dataset"":LIPOTHRIXVIRIDAE,""label"":Lipothrixviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D023643,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":[],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[Alphalipothrixvirus],""name"":lipothrixviridae,""definition"":['Family of enveloped, lipid-containing, filamentous DNA viruses that infect ARCHAEA.'],""name_Dataset"":LIPOTHRIXVIRIDAE,""label"":Lipothrixviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D023643,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":['Viruses whose nucleic acid is DNA.'],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[Alphalipothrixvirus],""name"":lipothrixviridae,""definition"":['Family of enveloped, lipid-containing, filamentous DNA viruses that infect ARCHAEA.'],""name_Dataset"":LIPOTHRIXVIRIDAE,""label"":Lipothrixviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D023643,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Archaeal Virus],""name"":archaeal viruses,""definition"":[],""name_Dataset"":ARCHAEAL VIRUS,""label"":Archaeal Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D023641,""ontology"":MESH}"
"{""synonym"":[Archaeal Virus],""name"":archaeal viruses,""definition"":[],""name_Dataset"":ARCHAEAL VIRUS,""label"":Archaeal Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D023641,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Archaeal Virus],""name"":archaeal viruses,""definition"":[],""name_Dataset"":ARCHAEAL VIRUS,""label"":Archaeal Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D023641,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, Animal],""name"":viruses,""definition"":['Minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.'],""label"":Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D014780,""ontology"":MESH}"
"{""synonym"":[],""name"":microviridae,""definition"":['A large family of lytic bacteriophages infecting enterobacteria; SPIROPLASMA; BDELLOVIBRIO; and CHLAMYDIA. It contains four genera: MICROVIRUS; Spiromicrovirus; Bdellomicrovirus; and Chlamydiamicrovirus.'],""name_Dataset"":MICROVIRIDAE,""label"":Microviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D017914,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[],""name"":microviridae,""definition"":['A large family of lytic bacteriophages infecting enterobacteria; SPIROPLASMA; BDELLOVIBRIO; and CHLAMYDIA. It contains four genera: MICROVIRUS; Spiromicrovirus; Bdellomicrovirus; and Chlamydiamicrovirus.'],""name_Dataset"":MICROVIRIDAE,""label"":Microviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D017914,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Phages],""name"":bacteriophages,""definition"":['Viruses whose hosts are bacterial cells.'],""label"":Bacteriophages,""uri"":http://purl.bioontology.org/ontology/MESH/D001435,""ontology"":MESH}"
"{""synonym"":[],""name"":microviridae,""definition"":['A large family of lytic bacteriophages infecting enterobacteria; SPIROPLASMA; BDELLOVIBRIO; and CHLAMYDIA. It contains four genera: MICROVIRUS; Spiromicrovirus; Bdellomicrovirus; and Chlamydiamicrovirus.'],""name_Dataset"":MICROVIRIDAE,""label"":Microviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D017914,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":[],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[],""name"":microviridae,""definition"":['A large family of lytic bacteriophages infecting enterobacteria; SPIROPLASMA; BDELLOVIBRIO; and CHLAMYDIA. It contains four genera: MICROVIRUS; Spiromicrovirus; Bdellomicrovirus; and Chlamydiamicrovirus.'],""name_Dataset"":MICROVIRIDAE,""label"":Microviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D017914,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":['Viruses whose nucleic acid is DNA.'],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[],""name"":myoviridae,""definition"":['A family of BACTERIOPHAGES and ARCHAEAL VIRUSES which are characterized by complex contractile tails.'],""name_Dataset"":MYOVIRIDAE,""label"":Myoviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D017900,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
