n,p,m
"{""synonym"":[Extracellular Matrix Protein Gene, ECM Protein Gene],""name"":extracellular matrix protein gene,""definition"":['Extracellular Matrix Protein Genes encode mostly fibrous Extracellular Matrix Proteins (e.g., Collagen, Elastin, Fibronectins, and Laminin), typically located in the Extracellular Matrix and commonly involved in cell attachment, cell movement, cell growth, morphogenesis, organogenesis, and tissue repair, architecture, and organization. (NCI)'],""label"":Extracellular Matrix Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26000,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C1333497}"
"{""synonym"":[Extracellular Matrix Protein Gene, ECM Protein Gene],""name"":extracellular matrix protein gene,""definition"":['Extracellular Matrix Protein Genes encode mostly fibrous Extracellular Matrix Proteins (e.g., Collagen, Elastin, Fibronectins, and Laminin), typically located in the Extracellular Matrix and commonly involved in cell attachment, cell movement, cell growth, morphogenesis, organogenesis, and tissue repair, architecture, and organization. (NCI)'],""label"":Extracellular Matrix Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26000,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Extracellular Matrix Protein Gene}"
"{""synonym"":[Extracellular Matrix Protein Gene, ECM Protein Gene],""name"":extracellular matrix protein gene,""definition"":['Extracellular Matrix Protein Genes encode mostly fibrous Extracellular Matrix Proteins (e.g., Collagen, Elastin, Fibronectins, and Laminin), typically located in the Extracellular Matrix and commonly involved in cell attachment, cell movement, cell growth, morphogenesis, organogenesis, and tissue repair, architecture, and organization. (NCI)'],""label"":Extracellular Matrix Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26000,""ontology"":NCIT}","{""label"":Gene_Encodes_Product,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P96}","{""data"":Extracellular Matrix Protein}"
"{""synonym"":[Extracellular Matrix Protein Gene, ECM Protein Gene],""name"":extracellular matrix protein gene,""definition"":['Extracellular Matrix Protein Genes encode mostly fibrous Extracellular Matrix Proteins (e.g., Collagen, Elastin, Fibronectins, and Laminin), typically located in the Extracellular Matrix and commonly involved in cell attachment, cell movement, cell growth, morphogenesis, organogenesis, and tissue repair, architecture, and organization. (NCI)'],""label"":Extracellular Matrix Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26000,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C26000}"
"{""synonym"":[Extracellular Matrix Protein Gene, ECM Protein Gene],""name"":extracellular matrix protein gene,""definition"":['Extracellular Matrix Protein Genes encode mostly fibrous Extracellular Matrix Proteins (e.g., Collagen, Elastin, Fibronectins, and Laminin), typically located in the Extracellular Matrix and commonly involved in cell attachment, cell movement, cell growth, morphogenesis, organogenesis, and tissue repair, architecture, and organization. (NCI)'],""label"":Extracellular Matrix Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26000,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Extracellular_Matrix_Protein_Gene}"
"{""synonym"":[Extracellular Matrix Protein Gene, ECM Protein Gene],""name"":extracellular matrix protein gene,""definition"":['Extracellular Matrix Protein Genes encode mostly fibrous Extracellular Matrix Proteins (e.g., Collagen, Elastin, Fibronectins, and Laminin), typically located in the Extracellular Matrix and commonly involved in cell attachment, cell movement, cell growth, morphogenesis, organogenesis, and tissue repair, architecture, and organization. (NCI)'],""label"":Extracellular Matrix Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26000,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Gene or Genome}"
"{""synonym"":[Extracellular Matrix Protein Gene, ECM Protein Gene],""name"":extracellular matrix protein gene,""definition"":['Extracellular Matrix Protein Genes encode mostly fibrous Extracellular Matrix Proteins (e.g., Collagen, Elastin, Fibronectins, and Laminin), typically located in the Extracellular Matrix and commonly involved in cell attachment, cell movement, cell growth, morphogenesis, organogenesis, and tissue repair, architecture, and organization. (NCI)'],""label"":Extracellular Matrix Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26000,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Extracellular Matrix Protein Gene, ECM Protein Gene],""name"":extracellular matrix protein gene,""definition"":['Extracellular Matrix Protein Genes encode mostly fibrous Extracellular Matrix Proteins (e.g., Collagen, Elastin, Fibronectins, and Laminin), typically located in the Extracellular Matrix and commonly involved in cell attachment, cell movement, cell growth, morphogenesis, organogenesis, and tissue repair, architecture, and organization. (NCI)'],""label"":Extracellular Matrix Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26000,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Structural Protein Gene, Structural Gene],""name"":structural protein gene,""definition"":['A gene that encodes a protein with a chief function as part of a physical structure within a cell.  This is in contrast to genes that encode proteins with a function that is enzymatic or regulatory.'],""label"":Structural Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744,""ontology"":NCIT}"
"{""synonym"":[Structural Protein Gene, Structural Gene],""name"":structural protein gene,""definition"":['A gene that encodes a protein with a chief function as part of a physical structure within a cell.  This is in contrast to genes that encode proteins with a function that is enzymatic or regulatory.'],""label"":Structural Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":A gene that encodes a protein with a chief function as part of a physical structure within a cell.  This is in contrast to genes that encode proteins with a function that is enzymatic or regulatory.}"
"{""synonym"":[Structural Protein Gene, Structural Gene],""name"":structural protein gene,""definition"":['A gene that encodes a protein with a chief function as part of a physical structure within a cell.  This is in contrast to genes that encode proteins with a function that is enzymatic or regulatory.'],""label"":Structural Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C0017366}"
"{""synonym"":[Structural Protein Gene, Structural Gene],""name"":structural protein gene,""definition"":['A gene that encodes a protein with a chief function as part of a physical structure within a cell.  This is in contrast to genes that encode proteins with a function that is enzymatic or regulatory.'],""label"":Structural Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Structural Protein Gene}"
"{""synonym"":[Structural Protein Gene, Structural Gene],""name"":structural protein gene,""definition"":['A gene that encodes a protein with a chief function as part of a physical structure within a cell.  This is in contrast to genes that encode proteins with a function that is enzymatic or regulatory.'],""label"":Structural Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744,""ontology"":NCIT}","{""label"":Gene_Encodes_Product,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P96}","{""data"":Structural Protein}"
"{""synonym"":[Structural Protein Gene, Structural Gene],""name"":structural protein gene,""definition"":['A gene that encodes a protein with a chief function as part of a physical structure within a cell.  This is in contrast to genes that encode proteins with a function that is enzymatic or regulatory.'],""label"":Structural Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C20744}"
"{""synonym"":[Structural Protein Gene, Structural Gene],""name"":structural protein gene,""definition"":['A gene that encodes a protein with a chief function as part of a physical structure within a cell.  This is in contrast to genes that encode proteins with a function that is enzymatic or regulatory.'],""label"":Structural Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Structural_Gene}"
"{""synonym"":[Structural Protein Gene, Structural Gene],""name"":structural protein gene,""definition"":['A gene that encodes a protein with a chief function as part of a physical structure within a cell.  This is in contrast to genes that encode proteins with a function that is enzymatic or regulatory.'],""label"":Structural Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":Structural Gene}"
"{""synonym"":[Structural Protein Gene, Structural Gene],""name"":structural protein gene,""definition"":['A gene that encodes a protein with a chief function as part of a physical structure within a cell.  This is in contrast to genes that encode proteins with a function that is enzymatic or regulatory.'],""label"":Structural Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Gene or Genome}"
"{""synonym"":[Structural Protein Gene, Structural Gene],""name"":structural protein gene,""definition"":['A gene that encodes a protein with a chief function as part of a physical structure within a cell.  This is in contrast to genes that encode proteins with a function that is enzymatic or regulatory.'],""label"":Structural Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Structural Protein Gene, Structural Gene],""name"":structural protein gene,""definition"":['A gene that encodes a protein with a chief function as part of a physical structure within a cell.  This is in contrast to genes that encode proteins with a function that is enzymatic or regulatory.'],""label"":Structural Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""name"":THING,""label"":THING,""uri"":http://www.w3.org/2002/07/owl#Thing}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Genome Encoded Entity, Gene Product],""name"":gene product,""definition"":['A protein, RNA or a complex that contains proteins and/or RNA.'],""label"":Gene Product,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26548,""ontology"":NCIT}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Molecular Alteration, Genetic Abnormality, Molecular Abnormality, Cytogenetic or Molecular Genetic Abnormality, Chromosomal, Gene, or Protein Abnormality, MOLECULAR_ABNORMALITY],""name"":molecular abnormality,""definition"":['A molecular or cytogenic abnormality which occurs in either human disease states or disease models.'],""label"":Molecular Abnormality,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3910,""ontology"":NCIT}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[NCI Administrative Concept],""name"":nci administrative concept,""definition"":['An entity which is used by NCI for administrative, financial or organizational purposes.'],""label"":NCI Administrative Concept,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28389,""ontology"":NCIT}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[BiologicEntity, organism, Organismal, Taxon, Organism, Organisms],""name"":organism,""definition"":['A living entity.'],""label"":Organism,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14250,""ontology"":NCIT}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[isRetired, Retired Concept, All Retired Concepts, Retired Concepts],""name"":retired concept,""definition"":['Concept has been retired, and should not be used except to deal with old data.'],""label"":Retired Concept,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28428,""ontology"":NCIT}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Manufactured Object],""name"":manufactured object,""definition"":['A physical object created by hand or machine.'],""label"":Manufactured Object,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97325,""ontology"":NCIT}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C0017337}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""label"":ALT_DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P325}","{""data"":<ncicp:ComplexDefinition xmlns:ncicp='http://ncicb.nci.nih.gov/xml/owl/EVS/ComplexProperties.xsd#'><ncicp:def-definition>The functional and physical unit of heredity passed from parent to offspring. Genes are pieces of DNA, and most genes contain the information for making a specific protein.</ncicp:def-definition><ncicp:def-source>NCI-GLOSS</ncicp:def-source></ncicp:ComplexDefinition>}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Gene}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C16612}"
"{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Gene}"
