n,p,m
"{""synonym"":[Medical Science],""name"":medical science,""definition"":['The science of dealing with the maintenance of health and the prevention and treatment of disease.'],""label"":Medical Science,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45427,""ontology"":NCIT}","{""label"":NCI_META_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P208}","{""data"":CL414909}"
"{""synonym"":[Medical Science],""name"":medical science,""definition"":['The science of dealing with the maintenance of health and the prevention and treatment of disease.'],""label"":Medical Science,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45427,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Medical Science}"
"{""synonym"":[Medical Science],""name"":medical science,""definition"":['The science of dealing with the maintenance of health and the prevention and treatment of disease.'],""label"":Medical Science,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45427,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C45427}"
"{""synonym"":[Medical Science],""name"":medical science,""definition"":['The science of dealing with the maintenance of health and the prevention and treatment of disease.'],""label"":Medical Science,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45427,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Medical_Science}"
"{""synonym"":[Medical Science],""name"":medical science,""definition"":['The science of dealing with the maintenance of health and the prevention and treatment of disease.'],""label"":Medical Science,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45427,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Biomedical Occupation or Discipline}"
"{""synonym"":[Medical Science],""name"":medical science,""definition"":['The science of dealing with the maintenance of health and the prevention and treatment of disease.'],""label"":Medical Science,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45427,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Medical Science],""name"":medical science,""definition"":['The science of dealing with the maintenance of health and the prevention and treatment of disease.'],""label"":Medical Science,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45427,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Occupation or Discipline],""name"":occupation or discipline,""definition"":['A grouping of occupations and fields of study.'],""label"":Occupation or Discipline,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19160,""ontology"":NCIT}"
"{""synonym"":[Occupation or Discipline],""name"":occupation or discipline,""definition"":['A grouping of occupations and fields of study.'],""label"":Occupation or Discipline,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19160,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":A grouping of occupations and fields of study.}"
"{""synonym"":[Occupation or Discipline],""name"":occupation or discipline,""definition"":['A grouping of occupations and fields of study.'],""label"":Occupation or Discipline,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19160,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C1518533}"
"{""synonym"":[Occupation or Discipline],""name"":occupation or discipline,""definition"":['A grouping of occupations and fields of study.'],""label"":Occupation or Discipline,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19160,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Occupation or Discipline}"
"{""synonym"":[Occupation or Discipline],""name"":occupation or discipline,""definition"":['A grouping of occupations and fields of study.'],""label"":Occupation or Discipline,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19160,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C19160}"
"{""synonym"":[Occupation or Discipline],""name"":occupation or discipline,""definition"":['A grouping of occupations and fields of study.'],""label"":Occupation or Discipline,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19160,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Occupation_or_Discipline}"
"{""synonym"":[Occupation or Discipline],""name"":occupation or discipline,""definition"":['A grouping of occupations and fields of study.'],""label"":Occupation or Discipline,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19160,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Occupation or Discipline}"
"{""synonym"":[Occupation or Discipline],""name"":occupation or discipline,""definition"":['A grouping of occupations and fields of study.'],""label"":Occupation or Discipline,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19160,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Occupation or Discipline],""name"":occupation or discipline,""definition"":['A grouping of occupations and fields of study.'],""label"":Occupation or Discipline,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19160,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Drug, Food, Chemical or Biomedical Material],""name"":drug, food, chemical or biomedical material,""definition"":['An organic or inorganic substance, element, isotope, food or other materials derived from microorganism, plant, or animal sources. They can be used for the prevention, diagnosis, treatment or research of disease states, for industrial purposes, or for the promotion or maintenance of organism viability or health.'],""label"":Drug, Food, Chemical or Biomedical Material,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1908,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Genome Encoded Entity, Gene Product],""name"":gene product,""definition"":['A protein, RNA or a complex that contains proteins and/or RNA.'],""label"":Gene Product,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26548,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Diagnostic or Prognostic Factor],""name"":diagnostic or prognostic factor,""definition"":['A characteristic of an organism that contributes to the diagnosis or treatment of a disease or to the prediction of clinical outcomes.'],""label"":Diagnostic or Prognostic Factor,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20047,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Disease, Disorder or Finding],""name"":disease, disorder or finding,""definition"":['A condition that is relevant to human neoplasms and non-neoplastic disorders.  This includes observations, test results, history and other concepts relevant to the characterization of human pathologic conditions.'],""label"":Disease, Disorder or Finding,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7057,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Non-Human or Experimental Organism Diagnosis, Experimental Organism Diagnosis],""name"":experimental organism diagnosis,""definition"":['A condition or observation that is relevant to disease states, models of disease or characterization of those conditions in a non-human organism; this includes conditions or observations in organisms used in research settings.'],""label"":Experimental Organism Diagnosis,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22187,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Non-Human or Experimental Organism Anatomical Concept, Experimental Organism Anatomical Concept],""name"":experimental organism anatomical concept,""definition"":['A biological structure, fluid or other substance that is present in a non-human organism; this includes anatomic entities found in organisms used in research settings. However, this grouping excludes single molecular entities.'],""label"":Experimental Organism Anatomical Concept,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22188,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Molecular Alteration, Genetic Abnormality, Molecular Abnormality, Cytogenetic or Molecular Genetic Abnormality, Chromosomal, Gene, or Protein Abnormality, MOLECULAR_ABNORMALITY],""name"":molecular abnormality,""definition"":['A molecular or cytogenic abnormality which occurs in either human disease states or disease models.'],""label"":Molecular Abnormality,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3910,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[BiologicEntity, organism, Organismal, Taxon, Organism, Organisms],""name"":organism,""definition"":['A living entity.'],""label"":Organism,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14250,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Diagnostic, Therapeutic, and Research Equipment, Hardware, Diagnostic, Therapeutic, or Research Equipment, Equipment],""name"":diagnostic, therapeutic, or research equipment,""definition"":['A manufactured object that is used to perform diagnostic, therapeutic or research activities.'],""label"":Diagnostic, Therapeutic, or Research Equipment,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19238,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[isRetired, Retired Concept, All Retired Concepts, Retired Concepts],""name"":retired concept,""definition"":['Concept has been retired, and should not be used except to deal with old data.'],""label"":Retired Concept,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28428,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[Manufactured Object],""name"":manufactured object,""definition"":['A physical object created by hand or machine.'],""label"":Manufactured Object,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97325,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2002/07/owl#disjointWith}","{""synonym"":[gene, Gene, Genes],""name"":gene,""definition"":['A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.'],""label"":Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,""ontology"":NCIT}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":An organizational header for concepts representing mostly abstract entities.}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C1254372}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Conceptual Entity}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C20181}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Conceptual_Entities}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Classification}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""name"":THING,""label"":THING,""uri"":http://www.w3.org/2002/07/owl#Thing}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C0013153}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":OID,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P320}","{""data"":2.16.840.1.113883.3.26.1.1.1}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":ALT_DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P325}","{""data"":<ncicp:ComplexDefinition xmlns:ncicp='http://ncicb.nci.nih.gov/xml/owl/EVS/ComplexProperties.xsd#'><ncicp:def-definition>The course by which a substance was administered in order to reach the site of action in the body.</ncicp:def-definition><ncicp:def-source>CDISC</ncicp:def-source></ncicp:ComplexDefinition>}"
